,subject,id,author,date,time,content,clean_content,refs,urls,classification
58418,34607924,34608234,Anonymous,2/10/2024,10:06:36,">>34608213>>34608178This is another interesting one, the man said that he was doing it since a very early age and he became a fag because of this. To be honest, the same happened with me.https://files.catbox.moe/x5srkr.webm>>34608193NOI'M A BOTTOM AND I CAN HAVE OPINIONS""It appears that at least a third of all the reported child molestations involve homosexual acts, while girls account for about two-thirds of children victimized. Those who practice homosexual acts are at least 12 times more apt to molest a child sexually, and with suitable corrections for bisexuals (who molest both genders), probably at least 16 times more apt to molest a child. A review of recorded cases of teacher-pupil sexual interaction indicated that of the 30 instances detailed in the literature, 24 (80 percent) involved homosexual acts. It appears that teachers who practice homosexual acts are between 90 to 100 times more apt to involve themselves sexually with pupils than teachers who confine themselves to heterosexual acts.""https://www.ojp.gov/ncjrs/virtual-library/abstracts/homosexual-molestation-childrensexual-interaction-teacher-and-pupil","

This is another interesting one, the man said that he was doing it since a very early age and he became a fag because of this. To be honest, the same happened with me.https://files.catbox.moe/x5srkr.webm
NOI'M A BOTTOM AND I CAN HAVE OPINIONS""It appears that at least a third of all the reported child molestations involve homosexual acts, while girls account for about two-thirds of children victimized. Those who practice homosexual acts are at least 12 times more apt to molest a child sexually, and with suitable corrections for bisexuals (who molest both genders), probably at least 16 times more apt to molest a child. A review of recorded cases of teacher-pupil sexual interaction indicated that of the 30 instances detailed in the literature, 24 (80 percent) involved homosexual acts. It appears that teachers who practice homosexual acts are between 90 to 100 times more apt to involve themselves sexually with pupils than teachers who confine themselves to heterosexual acts.""https://www.ojp.gov/ncjrs/virtual-library/abstracts/homosexual-molestation-childrensexual-interaction-teacher-and-pupil","['>>34608213', '>>34608178', '>>34608193']","['://files.catbox.moe/x5srkr.webm', '/ncjrs/virtual-library/abstracts/homosexual-molestation-childrensexual-interaction-teacher-and-pupil']",0
27689,34577379,34577390,Anonymous,2/7/2024,19:48:40,"its not that women are ugly, its that they are manipulative and evil and hate gay men (see: willingness to date bi men)","its not that women are ugly, its that they are manipulative and evil and hate gay men (see: willingness to date bi men)",[],[],0
31898,/gaygen/ - gym edition,34578746,Delta,2/7/2024,21:41:29,>>34578714I know WHO he isI don't care about his music or anything,"
I know WHO he isI don't care about his music or anything",['>>34578714'],[],0
29364,/ftmg/ Donner Party Edition,34579008,Anonymous,2/7/2024,22:07:13,>>34577551I don't have autism and I definitely don't have EDS.,"
I don't have autism and I definitely don't have EDS.",['>>34577551'],[],0
57256,34606802,34609139,Anonymous,2/10/2024,11:48:06,>>34606802what's do her feet look like,"
what's do her feet look like",['>>34606802'],[],1
51840,/mtfg/ male to female general,34601516,puer delicatus,2/9/2024,18:23:41,>>34601464ancient history desu,"
ancient history desu",['>>34601464'],[],0
54854,/chasergen/ teasing edition,34604680,Anonymous,2/9/2024,23:29:39,">>34604290>Is it like Spanish paperwork or Mexican paperwork at this point? I have to do a bit of both, though thankfully majority of the paperwork I'm actually able to do in the city I'm currently at, the regular consulate is a big help for the smaller stuff. I think my biggest headache so far is having to correct my last name for my permit and school stuff constantly. It's a Catalan last name, and Mexican workers constantly make mistakes with it, adding letters where they don't belong and such. That'll probably be one of the first things I do when I legally change my name, standardize it>Where do you think you'd move if you do?somewhere cold, I have no idea where to yet, but I needs it to be cold. I hate the sunalso this past dia de los muertos I kept getting accused by the locals here of painting my face, I'm pretty pale. Next year I think I'll dress up for reals. I wouldn't need much facepaint anyhow, and I'd get to wear a dress>Getting better I think at leastyeah, I notice the homophobia and stuff a lot less with the younger people at my school. I notice a lot of the guy 'banter' with Mexican friends is just full on homoerotic stuff too, played as a joke but I find it pretty funny. I'm honestly extremely reserved with that stuff cuz I notice they tend to do stuff like slap each other's asses and pinch each other's nipples pretty hard, big no no for someone in my current tranny predicament haha","
>Is it like Spanish paperwork or Mexican paperwork at this point? I have to do a bit of both, though thankfully majority of the paperwork I'm actually able to do in the city I'm currently at, the regular consulate is a big help for the smaller stuff. I think my biggest headache so far is having to correct my last name for my permit and school stuff constantly. It's a Catalan last name, and Mexican workers constantly make mistakes with it, adding letters where they don't belong and such. That'll probably be one of the first things I do when I legally change my name, standardize it>Where do you think you'd move if you do?somewhere cold, I have no idea where to yet, but I needs it to be cold. I hate the sunalso this past dia de los muertos I kept getting accused by the locals here of painting my face, I'm pretty pale. Next year I think I'll dress up for reals. I wouldn't need much facepaint anyhow, and I'd get to wear a dress>Getting better I think at leastyeah, I notice the homophobia and stuff a lot less with the younger people at my school. I notice a lot of the guy 'banter' with Mexican friends is just full on homoerotic stuff too, played as a joke but I find it pretty funny. I'm honestly extremely reserved with that stuff cuz I notice they tend to do stuff like slap each other's asses and pinch each other's nipples pretty hard, big no no for someone in my current tranny predicament haha",['>>34604290'],[],1
64180,34610116,34613046,Anonymous,02/10/24,17:29:36,">>34612998>I'm sorry to hear that, being that sensitive (and I mean absolutely no offence here) seems like it'd be hard to deal with, I don't think that's how it is for most people thoughDo you realize how hypocritical this sounds? Imagine if someone said this to you about your GD>what do you think I'm denying?My feelings about the thought of looking male. You keep saying I can't possibly know","
>I'm sorry to hear that, being that sensitive (and I mean absolutely no offence here) seems like it'd be hard to deal with, I don't think that's how it is for most people thoughDo you realize how hypocritical this sounds? Imagine if someone said this to you about your GD>what do you think I'm denying?My feelings about the thought of looking male. You keep saying I can't possibly know",['>>34612998'],[],1
59962,34610116,34611093,Anonymous,02/10/24,14:40:56,>how can trans people be real if I wouldn't have any problem if I happened to be a cis man instead of a cis woman?,>how can trans people be real if I wouldn't have any problem if I happened to be a cis man instead of a cis woman?,[],[],1
2532,/gaygen/ Hot Boxer Edition,34550592,Anonymous,2/5/2024,15:00:43,">>34550458the one from back then? he was sweet and friendly when we first met. he had long hair, an eyebrow piercing and played guitar. honestly he was really hot and popular too. but yea, we drifted apart and he sort of became a jerk near the end","
the one from back then? he was sweet and friendly when we first met. he had long hair, an eyebrow piercing and played guitar. honestly he was really hot and popular too. but yea, we drifted apart and he sort of became a jerk near the end",['>>34550458'],[],0
61803,they lied to me,34613113,Anonymous,02/10/24,17:36:44,">>34613077This, I just get really high and jerk off imagining I'm a pretty girl, then after I cum I clean up and pretend it never happened and go about my work day.","
This, I just get really high and jerk off imagining I'm a pretty girl, then after I cum I clean up and pretend it never happened and go about my work day.",['>>34613077'],[],1
48198,Whats your current physique ?,34597958,Anonymous,2/9/2024,12:55:59,>>34596693Why do you have a furry tattoo. C'mon girl.,"
Why do you have a furry tattoo. C'mon girl.",['>>34596693'],[],0
45092,34594456,34594481,Anonymous,2/9/2024,6:47:48,">>34594456I write firmware, but yea I'm not that good.","
I write firmware, but yea I'm not that good.",['>>34594456'],[],1
47726,/gaygen/ - taeyong edition,34597569,NewGuy,2/9/2024,12:24:27,>>34597556theres probably 8000 americans that look exactly like that guy,"
theres probably 8000 americans that look exactly like that guy",['>>34597556'],[],0
32773,/chasergen/ accident edition,34582114,Anonymous,2/8/2024,5:26:52,"I already made that paper, I don't need to chase no clout (wow)I don't usually pipe up, don't like how you're running your mouth (wow)","I already made that paper, I don't need to chase no clout (wow)I don't usually pipe up, don't like how you're running your mouth (wow)",[],[],0
41597,/chasergen/ black hole edition,34590664,Luna,2/8/2024,21:26:03,>>34590636it helps to eat three meals a day.I'll never understand skinny trans chicks that expect their bones to move lmfao>>34590645picrel,"
it helps to eat three meals a day.I'll never understand skinny trans chicks that expect their bones to move lmfao
picrel","['>>34590636', '>>34590645']",[''],1
53594,/passgen/ lovers month edition,34604267,Anonymous,2/9/2024,22:46:55,">>34604181I meant like recently? I just dont think its helping you mentally if you arent changing personally I dont think your looks have changed much in the last few months (this doesnt mean your whole transition)also honestly, you cant expect other women to not drag you down thats part of being a woman, so get over it","
I meant like recently? I just dont think its helping you mentally if you arent changing personally I dont think your looks have changed much in the last few months (this doesnt mean your whole transition)also honestly, you cant expect other women to not drag you down thats part of being a woman, so get over it",['>>34604181'],[],1
42056,34591030,34591309,Anonymous,2/8/2024,22:20:38,>>34591030Let a trusted male friend impregnate you.,"
Let a trusted male friend impregnate you.",['>>34591030'],[],0
14642,/gaygen/ - marriage edition,34562917,Dan,2/6/2024,15:45:21,>>34562894Fake banished red pretend newscaster interviews red pretend foreign super villain distraction politician,"
Fake banished red pretend newscaster interviews red pretend foreign super villain distraction politician",['>>34562894'],[],0
18417,34566398,34566869,Anonymous,2/6/2024,22:16:10,>>34566651Crossdresser and femboy are both accurate terms for a man pretending to be a woman. I prefer pseudowoman.Transvestite is also applicible because vestements are clothes.,"
Crossdresser and femboy are both accurate terms for a man pretending to be a woman. I prefer pseudowoman.Transvestite is also applicible because vestements are clothes.",['>>34566651'],[],1
28620,34573863,34574279,Anonymous,2/7/2024,15:22:36,>>34574262Calling yourself everyone is weird flex,"
Calling yourself everyone is weird flex",['>>34574262'],[],0
55239,/mtfg/ male to fujo general,34605219,emi,2/10/2024,0:35:46,>>34605208forgot name :x,"
forgot name :x",['>>34605208'],[],0
28367,/wcg/ - Webcomics General,34577356,Kaito Shuno,2/7/2024,19:46:31,>>34572293,"
",['>>34572293'],[],0
42430,bottoms general,34592414,Anonymous,2/9/2024,0:37:40,>>34592387Yes it happens tho. Hopefully there will be some similarly aged nerdie cutie out there for me some day hehe.,"
Yes it happens tho. Hopefully there will be some similarly aged nerdie cutie out there for me some day hehe.",['>>34592387'],[],0
66247,34614823,34617738,Anonymous,02/11/24,01:47:06,>>34614823>tell doctor I wanna be on estrogen/nuke T>he gives me meds>don't pay a dime for themBased West Coast,"
>tell doctor I wanna be on estrogen/nuke T>he gives me meds>don't pay a dime for themBased West Coast",['>>34614823'],[],1
67895,/lesgen/ - job edition,34619332,Child of Isha,02/11/24,06:13:22,>>34616671>living on disability>I dont care anymore,"
>living on disability>I dont care anymore",['>>34616671'],[],1
46708,/Chasergen/ - Dance Edition,34596037,Anonymous,2/9/2024,10:20:03,>>34595997that many times in a single day?? i mean it does seem like a lot but i've never experienced it so i may be just talking out my ass,"
that many times in a single day?? i mean it does seem like a lot but i've never experienced it so i may be just talking out my ass",['>>34595997'],[],0
56017,/mtfg/ male to fujo general,34606417,Kotakins,2/10/2024,4:53:26,>>34606408I look really fucked up I'm in a graveyard,"
I look really fucked up I'm in a graveyard",['>>34606408'],[],0
4404,34548328,34548345,Anonymous,2/5/2024,11:32:25,">>34548328a bit yeah. any determine hons would just diy, but tons of people would desist. or there would be a harder push that hrt doesnt make you trans and youd end up with more theymabs.","
a bit yeah. any determine hons would just diy, but tons of people would desist. or there would be a harder push that hrt doesnt make you trans and youd end up with more theymabs.",['>>34548328'],[],1
22143,34570538,34570607,Anonymous,2/7/2024,7:52:15,>>34570605>trisWhat?,"
>trisWhat?",['>>34570605'],[],0
2110,34547800,34551147,Anonymous,2/5/2024,15:48:09,">>34551097>Being pro trans isn’t exactly good publicity, the “gold standard” is not engaging with politics at all like most Hollywood-type celebrities.You have to keep in mind most of his fanbase are Tumblrinas and theyfabs, actual children don't really read these books anymore because they're too busy watching skibidi toilet or whatever the fuck is trendy these days.A lot of tumblr/twitter posts have gone viral of sjws saying that you should stop reading HP because Rowling is transphobic and that peopoe should read Percy instead because the author is pro-troon.","
>Being pro trans isn’t exactly good publicity, the “gold standard” is not engaging with politics at all like most Hollywood-type celebrities.You have to keep in mind most of his fanbase are Tumblrinas and theyfabs, actual children don't really read these books anymore because they're too busy watching skibidi toilet or whatever the fuck is trendy these days.A lot of tumblr/twitter posts have gone viral of sjws saying that you should stop reading HP because Rowling is transphobic and that peopoe should read Percy instead because the author is pro-troon.",['>>34551097'],"['', '']",1
27601,34576098,34576109,Anonymous,2/7/2024,18:08:12,">>34576098Sure, man, whatever your neurotic mind wants.","
Sure, man, whatever your neurotic mind wants.",['>>34576098'],[],0
59110,/gaygen/ - champion edition,34610198,Anonymous,02/10/24,13:21:02,new (non estrogen spammer thread)>>34610194>>34610194>>34610194,"new (non estrogen spammer thread)


","['>>34610194', '>>34610194', '>>34610194']",[],0
40347,/mtfg/ - Male to Female Genera(...),34590155,Anonymous,2/8/2024,20:41:31,">>34590116>I, Fat Ugly Bastard man, cannot accept that u were once a twunkOh noes","
>I, Fat Ugly Bastard man, cannot accept that u were once a twunkOh noes",['>>34590116'],[],1
56716,34589653,34609253,Anonymous,2/10/2024,11:57:09,>>34589918gay male>>34589945transbian>>34590006afab enby>>34608669gay twink,"
gay male
transbian
afab enby
gay twink","['>>34589918', '>>34589945', '>>34590006', '>>34608669']",[],1
72640,34626073,34626177,Anonymous,02/11/24,17:51:38,>>34626142kek. kids are so adorable,"
kek. kids are so adorable",['>>34626142'],[],0
33191,/gaygen/ Drake edition,34581507,nefarious malevolent crone of (...),2/8/2024,3:42:04,>>34581506is it not just apparent from the way you speak?i never met a twink bottom without gay voice,"
is it not just apparent from the way you speak?i never met a twink bottom without gay voice",['>>34581506'],[],0
2269,We have many examples of passi(...),34549464,Anonymous,2/5/2024,13:35:42,">>34549422Another great pic, thanks. I did save one a while ago with pink lighting. Your body may be the most mouth watering this board has ever seen.","
Another great pic, thanks. I did save one a while ago with pink lighting. Your body may be the most mouth watering this board has ever seen.",['>>34549422'],[],0
41485,34589439,34590901,Anonymous,2/8/2024,21:47:04,>>34590754Skill issue,"
Skill issue",['>>34590754'],[],1
44906,34592626,34594852,Anonymous,2/9/2024,7:47:46,">>34593261>but he isn’t actually gay and hates actual gays.Sure, jan","
>but he isn’t actually gay and hates actual gays.Sure, jan",['>>34593261'],[''],0
25806,/gaygen/ - slobber edition,34573119,Anonymous,2/7/2024,13:31:19,">>34573083bisexual men will be bisexual, what else is new","
bisexual men will be bisexual, what else is new",['>>34573083'],[],0
37146,34586007,34586069,Anonymous,2/8/2024,13:47:53,">>34586038Wrong.Chasers/GAMP men are equally or even more attracted to trans women than to cis women. They fetishize the idea of ""chicks with dicks"" because the male parts. Enjoys androgyny.Heterosexual men are attracted to cis women and even that can feel some attraction to some trans women especially if they are very feminine, hot and passable. They prefer pussy and in the end it will be very probably that they will come back to cis women.","
Wrong.Chasers/GAMP men are equally or even more attracted to trans women than to cis women. They fetishize the idea of ""chicks with dicks"" because the male parts. Enjoys androgyny.Heterosexual men are attracted to cis women and even that can feel some attraction to some trans women especially if they are very feminine, hot and passable. They prefer pussy and in the end it will be very probably that they will come back to cis women.",['>>34586038'],[],1
61500,/clg/ Cis Lesbian General,34613759,Anonymous,02/10/24,18:30:43,>>34613131>fetishising an entire race of women kys moid,"
>fetishising an entire race of women kys moid",['>>34613131'],[],0
70846,/gaygen/ - skincare edition,34622473,Anonymous,02/11/24,12:39:22,>>34622438Yeah seems like you and him will be the only ones>>34622447Yeah those can be included but I was thinking more traditional like Battleship or MonopolyThe name of the board game I was thinking of was Guess who,"
Yeah seems like you and him will be the only ones
Yeah those can be included but I was thinking more traditional like Battleship or MonopolyThe name of the board game I was thinking of was Guess who","['>>34622438', '>>34622447']",[],0
7626,34550019,34554773,Anonymous,2/5/2024,20:38:27,>>34554693How's this? Took it a couple weeks agohttps://files.catbox.moe/pktk6q.jpg,"
How's this? Took it a couple weeks agohttps://files.catbox.moe/pktk6q.jpg",['>>34554693'],['/pktk6q.jpg'],1
30349,34579135,34579757,Anonymous,2/7/2024,23:39:30,>>34579135Wtf I know the guy behind you.,"
Wtf I know the guy behind you.",['>>34579135'],[],1
58524,34605709,34609919,Anonymous,2/10/2024,12:51:42,">>34605807are you fucking retarted? estrogen is not an irreversible thing you say, have you ever in your life seen a tunapoon? kill yourself hon i hope you mald till you melt","
are you fucking retarted? estrogen is not an irreversible thing you say, have you ever in your life seen a tunapoon? kill yourself hon i hope you mald till you melt",['>>34605807'],[],1
68856,/mtfg/ male to female general,34620914,Saltine,02/11/24,10:27:14,>>34620778>rock>not maulbro put your rock on a stick what are you even doing,"
>rock>not maulbro put your rock on a stick what are you even doing",['>>34620778'],[],0
48440,fell for a mid pos,34598101,Anonymous,2/9/2024,13:08:57,">>34598071Yeah, nearly agreed to a hookup before I realized there was no chance of emotional validation. Till then I even had a plan trying to get them to fall in love with me","
Yeah, nearly agreed to a hookup before I realized there was no chance of emotional validation. Till then I even had a plan trying to get them to fall in love with me",['>>34598071'],[],0
11230,/Chasergen/ - Height Edition,34558415,Anonymous,2/6/2024,5:39:41,i keep thinking about boymoders,i keep thinking about boymoders,[],[],1
9231,/Chasergen/ - Height Edition,34555360,Anonymous,2/5/2024,21:29:33,">>34555314Oh, sorry then. I only meant to sexually harass the camwhore. I'm sure you're a lovely lady and you do not deserve it.","
Oh, sorry then. I only meant to sexually harass the camwhore. I'm sure you're a lovely lady and you do not deserve it.",['>>34555314'],[],1
43890,/passgen/,34592820,Anonymous,2/9/2024,1:34:33,>>34592810Istg you look like a tripfag who used to post here until she got a gf and left.,"
Istg you look like a tripfag who used to post here until she got a gf and left.",['>>34592810'],[],1
313,Timeline,34527987,Anonymous,2/3/2024,20:18:16,Never repress y'all,Never repress y'all,[],[],1
59770,34610116,34610582,Anonymous,02/10/24,13:56:23,>>34610560i'm sorry that you are as simple minded as an animal>>34610567don't take the bait,"
i'm sorry that you are as simple minded as an animal
don't take the bait","['>>34610560', '>>34610567']",[],1
40068,/chasergen/ - lovebirds editio(...),34589140,Anonymous,2/8/2024,18:55:13,>>34589133Any dude who has seen this board and has not begun working out is an idiot. It's all they talk about,"
Any dude who has seen this board and has not begun working out is an idiot. It's all they talk about",['>>34589133'],[],0
59399,mtfg- tranner hangout,34608423,Radiochan,02/10/24,10:26:16,"nomi's coming over tomorrow, have to get cracking on cleaning my room today","nomi's coming over tomorrow, have to get cracking on cleaning my room today",[],[],0
72953,"No more puppy-girl, game over.",34624008,Anonymous,02/11/24,14:57:02,">>34622345Because, you want to relax sweetie...Relax, in the security of my arms... Let me do the thinking for you, and let me guide you, and comfort you, and pet you tenderly, as if you were my own little pet.>>34622387 >>34623371I'm a 5'4, adorable twink-hon, with an 8 inch cock :x, who dabbles in bringing peace to girls, with worried minds, and longing bodies.But yah being a short, intersexed, fem-fag sucked. Being a clocky twink-hon is heavenly in comparison.>>34623266It really is wrong, to assume you have some dominate energy, and desires to dominate others, just because your tall, when in reality, you have no fight in you, no urge to lead, and are lacking in that way....You deserve to be a pet, loved, and cherished, by a loving master, whom only wants the best for you, and to see you self actualize into the best woman you can be! A free, and wild one ^_^ whom can bark while getting bitten on the neck while getting fucked, and not even feel slightly ashamed about it.>>346232836'3That's hot. Anonette, is built to be bullied and teased so badly. I'd love to push you around, to the floor, up against a wall, and just restrain those pesky arms of yours for a hot minute.","
Because, you want to relax sweetie...Relax, in the security of my arms... Let me do the thinking for you, and let me guide you, and comfort you, and pet you tenderly, as if you were my own little pet.
 
I'm a 5'4, adorable twink-hon, with an 8 inch cock :x, who dabbles in bringing peace to girls, with worried minds, and longing bodies.But yah being a short, intersexed, fem-fag sucked. Being a clocky twink-hon is heavenly in comparison.
It really is wrong, to assume you have some dominate energy, and desires to dominate others, just because your tall, when in reality, you have no fight in you, no urge to lead, and are lacking in that way....You deserve to be a pet, loved, and cherished, by a loving master, whom only wants the best for you, and to see you self actualize into the best woman you can be! A free, and wild one ^_^ whom can bark while getting bitten on the neck while getting fucked, and not even feel slightly ashamed about it.
6'3That's hot. Anonette, is built to be bullied and teased so badly. I'd love to push you around, to the floor, up against a wall, and just restrain those pesky arms of yours for a hot minute.","['>>34622345', '>>34622387', '>>34623371', '>>34623266', '>>34623283']","['', '', '']",1
64782,/mtfg/ male to female general,34615787,laguna,02/10/24,21:41:30,>>34615772Cheesecake,"
Cheesecake",['>>34615772'],[],0
44091,Sissy Hypno Hour,34593842,Anonymous,2/9/2024,4:41:18,>>34593822>not as interested in the topics on cold cutsWho isn't interested in Master and Commander?,"
>not as interested in the topics on cold cutsWho isn't interested in Master and Commander?",['>>34593822'],[],0
7670,34551747,34554377,Anonymous,2/5/2024,20:06:28,>>34554088omg naked Camo...,"
omg naked Camo...",['>>34554088'],[],0
70011,/gaygen/,34621333,Anonymous,02/11/24,11:04:19,>>34621266both bakus ex's should model naked together on their knees with baku's dick between their lips,"
both bakus ex's should model naked together on their knees with baku's dick between their lips",['>>34621266'],[],0
73504,34622787,34624671,Anonymous,02/11/24,15:50:27,>>34622787>http://www.pictriev.com/lmfao I got 100% masculine too on 1 week hrt. I will kms,"
>http://www.pictriev.com/lmfao I got 100% masculine too on 1 week hrt. I will kms",['>>34622787'],['/lmfao'],1
28183,only real trans girls wear dia(...),34577745,Anonymous,2/7/2024,20:13:25,>>34549812shut up spicebag,"
shut up spicebag",['>>34549812'],[],1
26089,34574196,34575081,Anonymous,2/7/2024,16:31:30,Tried for tire iron vengeance; got imminent boy removal instead,Tried for tire iron vengeance; got imminent boy removal instead,[],[],0
32513,34579046,34581908,Anonymous,2/8/2024,4:44:33,">>34581861>>It'll never happen and you'll never get closure from her. You gotta close the chapter yourself and move on to something else or rot in rejection>DUDE JUSTI've tried everything. I actually thought I was over it for a bit because I kept thoughts of her at bay because I'd listen to sleep hypnosis videos to make you forget about your ex. Seriously, it felt like it was working.Then it all came crashing back and I'm back to square one.","
>>It'll never happen and you'll never get closure from her. You gotta close the chapter yourself and move on to something else or rot in rejection>DUDE JUSTI've tried everything. I actually thought I was over it for a bit because I kept thoughts of her at bay because I'd listen to sleep hypnosis videos to make you forget about your ex. Seriously, it felt like it was working.Then it all came crashing back and I'm back to square one.",['>>34581861'],[''],0
23029,34571127,34571217,Anonymous,2/7/2024,9:23:55,">>34571127The fuck? My father exactly said shit like this but actual transition is immoral because that's going against god's design he said, wtf?","
The fuck? My father exactly said shit like this but actual transition is immoral because that's going against god's design he said, wtf?",['>>34571127'],[],1
7083,/ftmg/ sisters will seem stran(...),34550269,Anonymous,2/5/2024,14:37:52,>>34548036agreed. incest is very repulsive to me. i tend to block incest fans on social media even in fiction,"
agreed. incest is very repulsive to me. i tend to block incest fans on social media even in fiction",['>>34548036'],[],0
60414,/chasergen/ fitness edition,34611195,Anonymous,02/10/24,14:50:07,>>34611178Post nose slut,"
Post nose slut",['>>34611178'],[],0
26410,34571331,34575129,Anonymous,2/7/2024,16:36:51,>>34571331no links?i usually prefer greentexts but always thought this was hot as:https://xhamster.com/videos/breeding-a-sissy-slut-9845513,"
no links?i usually prefer greentexts but always thought this was hot as:https://xhamster.com/videos/breeding-a-sissy-slut-9845513",['>>34571331'],['/videos/breeding-a-sissy-slut-9845513'],1
45815,34589653,34595914,Anonymous,2/9/2024,10:08:49,>>34590067>ichi the killer>weirdly horny...what,"
>ichi the killer>weirdly horny...what",['>>34590067'],[''],1
28293,34577187,34577320,Anonymous,2/7/2024,19:43:45,">>34577187if it's june, ill be hanging out in the park alone while everyone else goes about their normal lives","
if it's june, ill be hanging out in the park alone while everyone else goes about their normal lives",['>>34577187'],[],0
69134,34619021,34619322,Anonymous,02/11/24,06:10:57,>>34619306Can't tell if you're genuinely this autistic or it's just a weird larp.,"
Can't tell if you're genuinely this autistic or it's just a weird larp.",['>>34619306'],[],0
3700,/bmg/ - boymoder general | [in(...),34514556,Anonymous,2/2/2024,17:44:52,>>34514521well I have short hair so I have to boymode for at least like 1.5yrsbut as of right now. I belong in bmg,"
well I have short hair so I have to boymode for at least like 1.5yrsbut as of right now. I belong in bmg",['>>34514521'],[],1
45691,/mtfg/ - Male to Female Genera(...),34594958,"A.G.P. pilot ""naz"" Nullifier(...)",2/9/2024,8:09:33,https://youtube.com/watch?v=8wKWwUzgCE8,https://youtube.com/watch?v=8wKWwUzgCE8,[],['/watch?v=8wKWwUzgCE8'],0
64541,/mtfg/ male to female general,34613421,parrot,02/10/24,17:59:42,im pretty pure,im pretty pure,[],[],0
53525,34602901,34603997,Anonymous,2/9/2024,22:19:41,>>34603968Sigh they are super sexy I just can't give it up for the look tho.,"
Sigh they are super sexy I just can't give it up for the look tho.",['>>34603968'],[],0
12574,/gaygen/ - sad eyes edition,34559470,WesternCanada,2/6/2024,8:46:03,>>34559454I want to kick this bird’s ass.,"
I want to kick this bird’s ass.",['>>34559454'],[],0
48507,/bigen/ - Bisexual General,34598292,Layrinn,2/9/2024,13:26:12,">>34598142Damn. Missed double social commentary feature. I hope we get the robocop , demolition man night.","
Damn. Missed double social commentary feature. I hope we get the robocop , demolition man night.",['>>34598142'],[],0
55700,/ltg/ Late Transitioner Genera(...),34606031,Anonymous,2/10/2024,3:24:27,should i transition at 28 without dysphoria,should i transition at 28 without dysphoria,[],[],1
37198,34584470,34585941,Anonymous,2/8/2024,13:34:09,>>34584648I always knew non-binary was meaningless and nonsensical. Funny thing is it’s the self proclaimed non-binary people who make it obvious it’s just a larp for attention.,"
I always knew non-binary was meaningless and nonsensical. Funny thing is it’s the self proclaimed non-binary people who make it obvious it’s just a larp for attention.",['>>34584648'],[],1
65969,/passgen/,34616953,grace,02/10/24,23:49:57,">ywn be cute enough to post a picture of urself on saturday night b4 passgen dies and get ""hi cutiee'd""its over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",">ywn be cute enough to post a picture of urself on saturday night b4 passgen dies and get ""hi cutiee'd""its over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",[],[],1
56568,/passgen/ lovers month edition,34606985,berrychan,2/10/2024,6:56:35,>>34602831lmao what,"
lmao what",['>>34602831'],[],1
8490,34555189,34556022,Anonymous,2/5/2024,22:37:21,">>34555189Girls like this exist, but they’re all psychopaths.","
Girls like this exist, but they’re all psychopaths.",['>>34555189'],[],1
585,/repgen/ - repressor general,34502910,Anonymous,2/1/2024,20:57:45,>>34502814i dont think you should.,"
i dont think you should.",['>>34502814'],[],0
63252,/gaygen/ - BAP edition,34614107,godly,02/10/24,18:59:17,>>34613982>Cute. I fucking love those little guys.theyre honduran white bats they can make their own tent of leaves by strategically cutting the leaf ribs with their teeth and sleep in them. there can be up to 1-15 of these little fluffy guys roosting in a leaf tent.,"
>Cute. I fucking love those little guys.theyre honduran white bats they can make their own tent of leaves by strategically cutting the leaf ribs with their teeth and sleep in them. there can be up to 1-15 of these little fluffy guys roosting in a leaf tent.",['>>34613982'],[''],0
74062,/gaygen/,34628428,Anonymous,02/11/24,21:15:36,Alright guys there this super cute autistic guy at work I'm totally into. How do I get him to notice me?He hardly speaks to anyone mostly because he's always wearing an earbud in to help him concentrate. As much as I've seen he really only occasionally says something to me but he always keeps it brief at one or two sentence exchanges. He doesn't really seem like he wants to talk because he wants to focus on working,Alright guys there this super cute autistic guy at work I'm totally into. How do I get him to notice me?He hardly speaks to anyone mostly because he's always wearing an earbud in to help him concentrate. As much as I've seen he really only occasionally says something to me but he always keeps it brief at one or two sentence exchanges. He doesn't really seem like he wants to talk because he wants to focus on working,[],[],0
